section,expected_count,url
DECISIONS FROM THE COURTS OF APPEAL,,https://lovdata.no/pro/#document/LGSIV/avgjorelse/lg-2023-21258
DECISIONS FROM THE COURTS OF APPEAL,,https://lovdata.no/pro/#document/LHSIV/avgjorelse/lh-2023-18494
DECISIONS FROM THE COURTS OF APPEAL,,https://lovdata.no/pro/#document/LESIV/avgjorelse/le-2022-141058
DECISIONS FROM THE COURTS OF APPEAL,,https://lovdata.no/pro/#document/LESIV/avgjorelse/le-2022-122075
DECISIONS FROM THE COURTS OF APPEAL,,https://lovdata.no/pro/#document/LHSIV/avgjorelse/lh-2022-43940
DECISIONS FROM THE COURTS OF APPEAL,,https://lovdata.no/pro/#document/LHSIV/avgjorelse/lh-2022-125450
DECISIONS FROM THE COURTS OF APPEAL,,https://lovdata.no/pro/#document/LHSIV/avgjorelse/lh-2022-85120
DECISIONS FROM THE COURTS OF APPEAL,,https://lovdata.no/pro/#document/LESIV/avgjorelse/le-2022-19926
DECISIONS FROM THE COURTS OF APPEAL,,https://lovdata.no/pro/#document/LGSIV/avgjorelse/lg-2022-144659
DECISIONS FROM THE COURTS OF APPEAL,,https://lovdata.no/pro/#document/LBSIV/avgjorelse/lb-2022-60123
DECISIONS FROM THE COURTS OF APPEAL,,https://lovdata.no/pro/#document/LESIV/avgjorelse/le-2022-77517
DECISIONS FROM THE COURTS OF APPEAL,,https://lovdata.no/pro/#document/LHSIV/avgjorelse/lh-2022-10697
DECISIONS FROM THE COURTS OF APPEAL,,https://lovdata.no/pro/#document/LBSIV/avgjorelse/lb-2022-53474
DECISIONS FROM THE COURTS OF APPEAL,,https://lovdata.no/pro/#document/LHSIV/avgjorelse/lh-2021-141669
DECISIONS FROM THE COURTS OF APPEAL,,https://lovdata.no/pro/#document/LHSIV/avgjorelse/lh-2021-145459
DECISIONS FROM THE COURTS OF APPEAL,,https://lovdata.no/pro/#document/LGSIV/avgjorelse/lg-2021-84575
DECISIONS FROM THE COURTS OF APPEAL,,https://lovdata.no/pro/#document/LBSIV/avgjorelse/lb-2021-124894
DECISIONS FROM THE COURTS OF APPEAL,,https://lovdata.no/pro/#document/LBSIV/avgjorelse/lb-2021-36870
DECISIONS FROM THE COURTS OF APPEAL,,https://lovdata.no/pro/#document/LGSIV/avgjorelse/lg-2021-44783
DECISIONS FROM THE COURTS OF APPEAL,,https://lovdata.no/pro/#document/LESIV/avgjorelse/le-2021-113410
DECISIONS FROM THE COURTS OF APPEAL,,https://lovdata.no/pro/#document/LESIV/avgjorelse/le-2021-130025
DECISIONS FROM THE COURTS OF APPEAL,,https://lovdata.no/pro/#document/LGSIV/avgjorelse/lg-2020-143650
DECISIONS FROM THE COURTS OF APPEAL,,https://lovdata.no/pro/#document/LBSIV/avgjorelse/lb-2021-90164
